CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Philadelphia Marriott Old City|FS|0011I00000cJXheQAG|PHLMO|a1W1I000000aWKtUAM|F|Marriott Hotels & Resorts|NALO|East|0011I00000cJXmtQAG|0011I00000cJXmtQAG||Open||
Bethesda North Marriott Hotel & Conference Center|FS|0011I00000cJXVUQA4|WASBN|a1W1I000000aWLFUA2|M|Marriott Hotels & Resorts|NALO|East||0011I00000cJXV0QAO||Open||
Chantilly|MSB|0011I00000cJXVUQA4||a1W1I000000aWLWUA2|O|SpringHill Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
Courtyard By Marriott Boston Copley Square|MSB|0011I00000cJXoDQAW|BOSDT|a1W1I000000aWLXUA2|F|Courtyard By Marriott|NALO|East|0011I00000cJXoDQAW|0011I00000cJXoDQAW||Open||
Courtyard By Marriott Birmingham Colonnade/Grandview|MSB|0011I00000cJXVUQA4|BHMSC|a1W1I000000aWJWUA2|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Deflagged||
Courtyard By Marriott Palm Springs|MSB|0011I00000cJXVUQA4|PSPCH|a1W1I000000aWJXUA2|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Courtyard By Marriott Memphis East/Park Avenue|MSB|0011I00000cJXVUQA4|MEMPA|a1W1I000000aWJvUAM|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Trenton Marriott Downtown|FS||TTNMC|a1W1I000000aWKNUA2|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Knoxville Marriott|FS||TYSMC|a1W1I000000aWKOUA2|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Residence Inn By Marriott Mt. Olive at International Trade Center|MSB|0011I00000cJXj1QAG|CDWRI|a1W1I000000aWKWUA2|F|Residence Inn By Marriott|NALO|East|0011I00000cJXj1QAG|0011I00000cJXj1QAG||Open||
CY CA Sacramento Cal Expo USA|MSB|||a1W1I000000aWKuUAM|F|Courtyard By Marriott|NALO|West||0011I00000cJXXBQA4||Cancelled||
FI/S CA Sacramento Cal Expo USA|MSB|||a1W1I000000aWKvUAM|F|Fairfield Inn & Suites|NALO|West||0011I00000cJXXBQA4||Cancelled||
Houston Marriott Sugar Land|FS|0011I00000cJXqsQAG|HOUSL|a1W1I000000aWLGUA2|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJWMKQA4|0011I00000cJWMKQA4||Open||
Residence Inn By Marriott Tucson Williams Centre|MSB|0011I00000cJXUEQA4|TUSRI|a1W1I000000aWLYUA2|F|Residence Inn By Marriott|NALO|West|0011I00001I9I3oQAF|0011I00001I9I3oQAF||Open||
TownePlace Suites By Marriott Bowie Town Center|MSB|0011I00000cJXWVQA4|BWIBM|a1W1I000000aWLcUAM|F|TownePlace Suites By Marriott|NALO|East|0011I00000cJXWVQA4|0011I00000cJXWVQA4||Open||
Courtyard By Marriott Raleigh Midtown|MSB|0011I00000cJXVUQA4|RDUWF|a1W1I000000aWJYUA2|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Courtyard By Marriott Baltimore Hunt Valley|MSB|0011I00000cJXVUQA4|BWIHU|a1W1I000000aWJZUA2|M|Courtyard By Marriott|NALO|East||0011I00000yIz9HQAS||Open||
Courtyard By Marriott Augusta|MSB|0011I00000cJXVUQA4|AGSCH|a1W1I000000aWJwUAM|M|Courtyard By Marriott|NALO|East||0011I00000cJXhhQAG||Open||
Greenville|MSB||GLHFI|a1W1I000000aWJxUAM|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Rotary House Hotel|FS|0011I00000cJXVUQA4|HOUJJ|a1W1I000000aWKPUA2|M|Marriott Conference Centers|NALO|West||0011I00000cJXoHQAW||Open||
Renaissance Atlanta Perimeter Hotel|FS|0011I00000cJXVUQA4||a1W1I000000aWKQUA2|O|Renaissance Hotels & Resorts|NALO|East||0011I00000cJXVUQA4||Cancelled||
Courtyard Chicago/Downtown|MSB|0011I00000cJXWpQAO|CHICD|a1W1I000000aWKRUA2|F|Courtyard By Marriott|NALO|West||0011I00000cJXWpQAO||Cancelled||
Residence Inn By Marriott Halifax Downtown|MSB|0011I00000cJXc1QAG|YHZRI|a1W1I000000aWKXUA2|F|Residence Inn By Marriott|NALO|Canada|0011I00000cJXc1QAG|0011I00000cJXc1QAG||Open||
Phoenix

FS,MSB,Luxury,Other


 Marriott Mesa|FS||PHXMM|a1W1I000000aWKwUAM|F|Marriott Hotels & Resorts|NALO|West||||Deflagged||
College Park|MSB|0011I00000cJXVUQA4||a1W1I000000aWKxUAM|O|Courtyard By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
Dallas/Plano Marriott at Legacy Town Center|FS|0011I00000cJXVUQA4|DALPT|a1W1I000000aWLHUA2|M|Marriott Hotels & Resorts|NALO|West||0011I00000cJXlPQAW||Open||
Fort Lauderdale Plantation|MSB|0011I00000cJXVUQA4|FLLTP|a1W1I000000aWLZUA2|O|TownePlace Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
Fairfield Inn & Suites San Angelo|MSB|0011I00000cJXWYQA4|SJTFI|a1W1I000000aWLdUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXhhQAG|0011I00000cJXhhQAG||Open||
Mt. Laurel Marriott|FS||PHLLA|a1W1I000000aWLeUAM|F|Marriott Hotels & Resorts|NALO|East||||Deflagged||
Courtyard By Marriott Los Angeles Hacienda Heights/Orange County|MSB|0011I00000cJXVUQA4|LAXHH|a1W1I000000aWJaUAM|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Atlanta West/Lithia Springs|MSB||ATLSX|a1W1I000000aWJbUAM|F|Courtyard By Marriott|NALO|East||||Deflagged||
Fairfield Inn & Suites Jefferson City|MSB|0011I00000cJXpoQAG|COUJC|a1W1I000000aWJyUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXpoQAG|0011I00000cJXpoQAG||Open||
Courtyard By Marriott North Charleston Airport/Coliseum|MSB|0011I00000cJXVUQA4|CHSCN|a1W1I000000aWJzUAM|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Open||
Englewood|MSB|0011I00000cJXVZQA4|EWREG|a1W1I000000aWMMUA2|F|Residence Inn By Marriott|NALO|East|0011I00000cJXVZQA4|0011I00000cJXVZQA4||Cancelled||
RIBM TX Bryan/College Station Bryan/College Station USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWMNUA2|F|Residence Inn By Marriott|NALO|West||0011I00000cJXUzQAO||Cancelled||
Chicago Marriott Hyde Park|FS|0011I00000cJXmfQAG||a1W1I000000aWMOUA2|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJXmfQAG|0011I00000cJXmfQAG||Cancelled||
RIBM AZ Phoenix North/Bell Road USA|MSB|||a1W1I000000aWMPUA2|O|Residence Inn By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
Tampa Downtown|MSB|0011I00000cJXnDQAW||a1W1I000000aWMQUA2|F|SpringHill Suites By Marriott|NALO|East|0011I00000cJXnDQAW|0011I00000cJXnDQAW||Cancelled||
CY AZ Phoenix North/Bell Road USA|MSB|||a1W1I000000aWMRUA2|O|Courtyard By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
TPS FL Fort Lauderdale Weston USA|MSB||.|a1W1I000000aWMSUA2|O|TownePlace Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
RIBM NE Omaha Downtown USA|MSB|0011I00000cJXVUQA4||a1W1I000000aWMTUA2|M|Residence Inn By Marriott|NALO|West||0011I00000cJWMVQA4||Cancelled||
FFI AR Bentonville Bentonville USA|MSB|0011I00000cJXVkQAO||a1W1I000000aWMUUA2|F|Fairfield Inn By Marriott|NALO|East||0011I00000cJXVkQAO||Cancelled||
RIBM IL Chicago Warrenville/Naperville USA|MSB|||a1W1I000000aWMVUA2|O|Residence Inn By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
CY TX Austin Northwest USA|MSB|||a1W1I000000aWMWUA2|O|Courtyard By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
FI CA Salinas Salinas USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWMXUA2|F|Fairfield Inn By Marriott|NALO|West||0011I00000cJXUzQAO||Cancelled||
RIBM IL Chicago St. Charles USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWMYUA2|F|Residence Inn By Marriott|NALO|West||0011I00000cJXUzQAO||Cancelled||
Austin Downtown Renaissance|FS|0011I00000cJXmfQAG||a1W1I000000aWMZUA2|F|Renaissance Hotels & Resorts|NALO|West|0011I00000cJXmfQAG|0011I00000cJXmfQAG||Cancelled||
Morristown|MSB|0011I00000cJXWYQA4|EWRMO|a1W1I000000aWMaUAM|F|Residence Inn By Marriott|NALO|East|0011I00000cJXcHQAW|0011I00000cJXcHQAW||Cancelled||
TPS FL Orlando Altamonte Springs USA|MSB||.|a1W1I000000aWMbUAM|F|TownePlace Suites By Marriott|NALO|East||0011I00000cJXnyQAG||Cancelled||
CY VA Washington DC Springfield/Springfield Mall USA|MSB|||a1W1I000000aWMcUAM|O|Courtyard By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
TPS VA Richmond Chesterfield (Boulders) USA|MSB||.|a1W1I000000aWMdUAM|O|TownePlace Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
CY CA Orange County Anaheim USA|MSB|0011I00000cJXo4QAG||a1W1I000000aWMeUAM|F|Courtyard By Marriott|NALO|West||0011I00000cJXo4QAG||Cancelled||
CY CA Oakland Emeryville USA|MSB|||a1W1I000000aWMfUAM|O|Courtyard By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
Portland Pioneer Square|FS|0011I00000cJXluQAG||a1W1I000000aWLlUAM|F|Renaissance Hotels & Resorts|NALO|West|0011I00000cJXluQAG|0011I00000cJXluQAG||Cancelled||
Residence Inn By Marriott Charleston Airport|MSB|0011I00000cJXrGQAW|CHSNO|a1W1I000000aWLmUAM|F|Residence Inn By Marriott|NALO|East|0011I00000cJXrGQAW|0011I00000cJXrGQAW||Open||
The Times Square EDITION|Luxury|0011I00000cJXVUQA4|NYCTE|a1W1I000000aWLnUAM|M|Edition|NALO|East||0011I00000cJWMOQA4||Open||
RIBM VA Washington DC Fairfax-Fair Lakes Add'l Rms USA|MSB||.|a1W1I000000aWMgUAM|M|Residence Inn By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
Greenville|MSB|0011I00000cJXlhQAG||a1W1I000000aWMhUAM|F|SpringHill Suites By Marriott|NALO|East|0011I00000cJXlhQAG|0011I00000cJXlhQAG||Cancelled||
Louisville Airport|MSB|0011I00000cJScgQAG||a1W1I000000aWMiUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXeBQAW|0011I00000cJXeBQAW||Cancelled||
Fairfield Inn & Suites Milledgeville|MSB|0011I00000cJXqUQAW|MCNMD|a1W1I000000aWMjUAM|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXxYQAW|0011I00000cJXxYQAW||Open||
Fort Myers Airport /Gulf Coast Mall|MSB|0011I00000cJXVUQA4||a1W1I000000aWLoUAM|M|Courtyard By Marriott|NALO|East||0011I00000cJXUYQA4||Cancelled||
St. Petersburg Downtown|MSB|0011I00000cJXVUQA4||a1W1I000000aWLpUAM|M|Courtyard By Marriott|NALO|East||0011I00000cJUMSQA4||Cancelled||
Courtyard By Marriott Wall at Monmouth Shores Corporate Park|MSB|0011I00000cJXqOQAW|EWRWT|a1W1I000000aWLqUAM|F|Courtyard By Marriott|NALO|East|0011I00000cJXhkQAG|0011I00000cJXhkQAG||Open||
Atlanta Marriott Buckhead Hotel & Conference Center|FS|0011I00000cJXrGQAW|ATLBC|a1W1I000000aWMkUAM|F|Marriott Hotels & Resorts|NALO|East|0011I00000cJXrGQAW|0011I00000cJXrGQAW||Open||
CY IL Chicago Downtown/West Loop USA|MSB|0011I00000cJXVUQA4|CHIDW|a1W1I000000aWMlUAM|M|Courtyard By Marriott|NALO|West||0011I00000cJWMVQA4||Cancelled||
RIBM CO Denver Downtown USA|MSB|0011I00000cJXluQAG||a1W1I000000aWMmUAM|F|Residence Inn By Marriott|NALO|West||0011I00000cJXluQAG||Cancelled||
FI CA Ventura County Camarillo USA|MSB|||a1W1I000000aWMnUAM|F|Fairfield Inn By Marriott|NALO|West||0011I00000cJXUVQA4||Cancelled||
Aloft Chattanooga Hamilton Place|MSB|0011I00000cJXs4QAG|CHAAL|a1W1I000000aWLrUAM|F|Aloft Hotels|NALO|East|0011I00000cJXs4QAG|0011I00000cJXs4QAG||Pre-Opening||
Residence Inn By Marriott Ontario Rancho Cucamonga|MSB|0011I00000cJXd8QAG|ONTCU|a1W1I000000aWLsUAM|F|Residence Inn By Marriott|NALO|West|0011I00000cJXd8QAG|0011I00000cJXd8QAG||Open||
Long Island Brookhaven/ USA|MSB|0011I00000cJXVZQA4||a1W1I000000aWMoUAM|F|SpringHill Suites By Marriott|NALO|East||0011I00000cJXVZQA4||Cancelled||
CY  Victoria Downtown Canada|MSB|0011I00000cJXlVQAW||a1W1I000000aWMpUAM|F|Courtyard By Marriott|NALO|Canada||0011I00000cJXlVQAW||Cancelled||
RIBM VA Washington DC Arlington/North Glebe USA|MSB|||a1W1I000000aWMqUAM|O|Residence Inn By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
RIBM FL Orlando World Gate USA|MSB|||a1W1I000000aWMrUAM|O|Residence Inn By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
Johnson & Wales University Renaissance|FS|0011I00000cJXluQAG||a1W1I000000aWMsUAM|F|Renaissance Hotels & Resorts|NALO|West|0011I00000cJXluQAG|0011I00000cJXluQAG||Cancelled||
RIBM PA Philadelphia Northeast/Franklin Mills USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWMtUAM|F|Residence Inn By Marriott|NALO|East||0011I00000cJXUzQAO||Cancelled||
The Miami Beach Edition Residences|Luxury|0011I00000cJXVUQA4|MIA17|a1W1I000000aWLtUAM|M|Edition|NALO|East||0011I00000cJXVUQA4||Open||
Dallas DFW Airport North/Grapevine|MSB||DALGS|a1W1I000000aWLuUAM|F|Fairfield Inn & Suites|NALO|West||||Deflagged||
AC Hotel By Marriott Dallas Irving|MSB|0011I00000cJXuUQAW||a1W1I000000aWMuUAM|F|AC Hotels By Marriott|NALO|West|0011I00000cJWOxQAO|0011I00000cJWOxQAO||Pre-Opening||
Residence Inn By Marriott Dallas Irving|MSB|0011I00000cJXuUQAW||a1W1I000000aWMvUAM|F|Residence Inn By Marriott|NALO|West|0011I00000cJWOxQAO|0011I00000cJWOxQAO||Pre-Opening||
SHS NM Santa Fe Santa Fe USA|MSB|||a1W1I000000aWMwUAM|O|SpringHill Suites By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
Houston West/Katy|MSB|0011I00000cJXUzQAO||a1W1I000000aWMxUAM|F|Residence Inn By Marriott|NALO|West|0011I00000cJXUzQAO|0011I00000cJXUzQAO||Cancelled||
CY FL Fort Lauderdale Airport/Dania USA|MSB|||a1W1I000000aWMyUAM|O|Courtyard By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
The Cornhusker, A Marriott Hotel|FS||.|a1W1I000000aWLvUAM|F|Marriott Hotels & Resorts|NALO|West||||Deflagged||
Praia D'El Rey Marriott Golf & Beach Resort|FS|0011I00000cJSg0QAG|LISDR|a1W1I000000aWLwUAM|F|Marriott Hotels & Resorts|INTL|Europe|0011I00000cJSg0QAG|0011I00000cJXlTQAW||Open||
MHR VA Washington, DC Arlington / Ballston USA|FS|||a1W1I000000aWLxUAM|M|Marriott Hotels & Resorts|NALO|East||0011I00000cJXX1QAO||Cancelled||
RIBM FL Fort Lauderdale Airport/Dania USA|MSB|||a1W1I000000aWMzUAM|O|Residence Inn By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
CY CA Los Angeles Downtown - 7th Street USA|MSB|0011I00000cJXluQAG|LAXCD|a1W1I000000aWN0UAM|F|Courtyard By Marriott|NALO|West|0011I00000cJXluQAG|0011I00000cJXluQAG||Cancelled||
CY NJ New York Edgewater USA|MSB|||a1W1I000000aWN1UAM|O|Courtyard By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
SHS GA Atlanta Buckhead USA|MSB|0011I00000cJXVUQA4|ATLSB|a1W1I000000aWN2UAM|O|SpringHill Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
RIBM PA Philadelphia Lansdale USA|MSB|||a1W1I000000aWN3UAM|F|Residence Inn By Marriott|NALO|East||0011I00000cJXWcQAO||Cancelled||
RIBM CA San Diego Torrey Hills/Del Mar USA|MSB|||a1W1I000000aWN4UAM|O|Residence Inn By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
JW Marriott Grosvenor House London|Luxury|0011I00000cJSKkQAO|LONGH|a1W1I000000aWLyUAM|L|JW Marriott Hotels and Resorts|INTL|Europe||0011I00000cJXgxQAG||Open||
TownePlace Suites By Marriott Kansas City Olathe|MSB|0011I00000cJXpPQAW||a1W1I000000aWLzUAM|F|TownePlace Suites By Marriott|NALO|West|0011I00000cJXpPQAW|0011I00000cJXpPQAW||Pre-Opening||
RIBM IL Chicago Downtown USA|MSB|0011I00000cJXmfQAG||a1W1I000000aWN5UAM|F|Residence Inn By Marriott|NALO|West||0011I00000cJXliQAG||Cancelled||
CY CA San Diego North/Miramar USA|MSB|||a1W1I000000aWN6UAM|F|Courtyard By Marriott|NALO|West||0011I00000cJXoUQAW||Cancelled||
FI CA Los Angeles Long Beach/Downtown USA|MSB|||a1W1I000000aWN7UAM|F|Fairfield Inn By Marriott|NALO|West||0011I00000cJXUCQA4||Cancelled||
SHS CO Denver South/Littleton USA|MSB|||a1W1I000000aWN8UAM|F|SpringHill Suites By Marriott|NALO|West||0011I00000cJXmfQAG||Cancelled||
CY NJ New York Bridgewater/Somerset USA|MSB|0011I00000cJXVUQA4||a1W1I000000aWN9UAM|M|Courtyard By Marriott|NALO|East||0011I00000cJXmYQAW||Cancelled||
RIBM NJ New York Bridgewater/Somerset USA|MSB|0011I00000cJXVUQA4|SOSRI|a1W1I000000aWNAUA2|M|Residence Inn By Marriott|NALO|East||0011I00000cJXmYQAW||Cancelled||
Danbury Marriott|FS|0011I00000cJXlmQAG||a1W1I000000aWNBUA2|F|Marriott Hotels & Resorts|NALO|East|0011I00000cJXlmQAG|0011I00000cJXlmQAG||Cancelled||
Fairfield Inn By Marriott Toronto Oakville|MSB|0011I00000cJXcSQAW|YYZTO|a1W1I000000aWM0UAM|F|Fairfield Inn By Marriott|NALO|Canada|0011I00000cJXcSQAW|0011I00000cJXcSQAW||Open||
Aloft Atlanta at The Battery Atlanta|MSB|0011I00000cJXnlQAG|ATLAE|a1W1I000000aWM1UAM|F|Aloft Hotels|NALO|East|0011I00000cJXnlQAG|0011I00000cJXnlQAG||Open||
SpringHill Suites By Marriott Durham Chapel Hill|MSB|0011I00000cJXaYQAW|RDURL|a1W1I000000aWNCUA2|F|SpringHill Suites By Marriott|NALO|East|0011I00000cJXaYQAW|0011I00000cJXaYQAW||Open||
CY CA Orange County Anaheim USA|MSB|0011I00000cJXVUQA4||a1W1I000000aWNDUA2|O|Courtyard By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
RIBM PA Philadelphia Langhorne USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWNEUA2|F|Residence Inn By Marriott|NALO|East||0011I00000cJXUzQAO||Cancelled||
RIBM MI Detroit Romulus USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWNFUA2|F|Residence Inn By Marriott|NALO|West||0011I00000cJXUzQAO||Cancelled||
Courtyard By Marriott Chicago Schaumburg/Woodfield Mall|MSB|0011I00000cJXqOQAW|CHICS|a1W1I000000aWM2UAM|F|Courtyard By Marriott|NALO|West|0011I00000cJXvyQAG|0011I00000cJXvyQAG||Open||
Pittsburgh Oakland/Schenley Center|MSB|0011I00000cJWMlQAO|PITTS|a1W1I000000aWM3UAM|F|TownePlace Suites By Marriott|NALO|East||0011I00000cJXVvQAO||Cancelled||
Fort Lauderdale Sawgrass Mills Marriott|FS|0011I00000cJXVUQA4|FLLSM|a1W1I000000aWM4UAM|M|Marriott Hotels & Resorts|NALO|East||0011I00000cJXVqQAO||Cancelled||
SHS NJ New York Newark Airport USA|MSB|0011I00000cJXVUQA4|EWRSH|a1W1I000000aWNGUA2|O|SpringHill Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
SHS NJ New York Mount Olive Township USA|MSB|||a1W1I000000aWNHUA2|O|SpringHill Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
CY VA Washington DC Potomac Mills USA|MSB|||a1W1I000000aWNIUA2|O|Courtyard By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
TPS VA Washington DC Potomac Mills USA|MSB||.|a1W1I000000aWNJUA2|O|TownePlace Suites By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
RIBM TN Nashville West End USA|MSB|||a1W1I000000aWNKUA2|O|Residence Inn By Marriott|NALO|East||0011I00000cJXVUQA4||Cancelled||
TPS KY Cincinnati Crestview Hills USA|MSB|0011I00000cJXVUQA4|.|a1W1I000000aWNLUA2|M|TownePlace Suites By Marriott|NALO|West||0011I00000cJXUYQA4||Cancelled||
CY CA San Jose South San Jose USA|MSB|||a1W1I000000aWNMUA2|O|Courtyard By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
Fairfield Inn & Suites Waco North|MSB|0011I00000cJXrbQAG|WCOLL|a1W1I000000aWM5UAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXrbQAG|0011I00000cJXrbQAG||Open||
Philadelphia Deptford|MSB|0011I00000cJXUzQAO||a1W1I000000aWM6UAM|F|Courtyard By Marriott|NALO|East|0011I00000cJXUzQAO|0011I00000cJXUzQAO||Cancelled||
San Diego Marriott Escondido|FS|0011I00000cJXluQAG||a1W1I000000aWM7UAM|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJXluQAG|0011I00000cJWboQAG||Cancelled||
Jekyll Island|MSB|0011I00000cJXVZQA4||a1W1I000000aWNNUA2|F|SpringHill Suites By Marriott|NALO|East|0011I00000cJSlNQAW|0011I00000cJSlNQAW||Cancelled||
Marriott Fort Lauderdale Airport|FS|0011I00000cJXnjQAG|FLLMP|a1W1I000000aWNOUA2|F|Marriott Hotels & Resorts|NALO|East|0011I00000cJXnjQAG|0011I00000cJXnjQAG||Pre-Opening||
Phoenix Downtown|MSB|0011I00000cJXluQAG||a1W1I000000aWNPUA2|F|Courtyard By Marriott|NALO|West|0011I00000cJXluQAG|0011I00000cJXluQAG||Cancelled||
Phoenix Downtown|MSB|0011I00000cJXluQAG||a1W1I000000aWNQUA2|F|Residence Inn By Marriott|NALO|West|0011I00000cJXluQAG|0011I00000cJXluQAG||Cancelled||
St. Petersburg Downtown|MSB|0011I00000cJXVUQA4||a1W1I000000aWNRUA2|M|Residence Inn By Marriott|NALO|East||0011I00000cJXnOQAW||Cancelled||
MES Philadelphia Center City|Other||-|a1W1I000000aWM8UAM|F|Marriott ExecuStay|NALO|East||||Deflagged||
Courtyard By Marriott Wichita at Old Town|MSB|0011I00000cJXnPQAW|ICTDT|a1W1I000000aWM9UAM|F|Courtyard By Marriott|NALO|West|0011I00001IBXweQAH|0011I00001IBXweQAH||Open||
Wayne|MSB|0011I00000cJXVUQA4|EWRCW|a1W1I000000aWNSUA2|M|Courtyard By Marriott|NALO|East||0011I00000cJXVPQA4||Cancelled||
Courtyard By Marriott New York Manhattan/Fifth Avenue|MSB|0011I00000cJXVgQAO|NYCES|a1W1I000000aWMAUA2|F|Courtyard By Marriott|NALO|East|0011I00000cJXcpQAG|0011I00000cJXcpQAG||Open||
Oakland Airport|MSB||OAKOA|a1W1I000000aWMBUA2|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
RIBM CA Sacramento Rancho Cordova USA|MSB|||a1W1I000000aWMCUA2|F|Residence Inn By Marriott|NALO|West||0011I00000cJXnFQAW||Cancelled||
Fairfield Inn & Suites Hailey Sun Valley|MSB|0011I00000cJXijQAG|SUNFI|a1W1I000000aWMDUA2|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXijQAG|0011I00000cJXijQAG||Open||
Fairfield Inn By Marriott New York Long Island City/Manhattan View|MSB||NYCFQ|a1W1I000000aWMEUA2|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Ventura (existing MHR)|FS|0011I00000cJXVUQA4||a1W1I000000aWMFUA2|M|Marriott Hotels & Resorts|NALO|West||0011I00000cJSjuQAG||Cancelled||
Renaissance Clearwater Beach Hotel|FS|0011I00000cJXVUQA4||a1W1I000000aWMGUA2|M|Renaissance Hotels & Resorts|NALO|East||0011I00000cJWQFQA4||Cancelled||
CY SD Sioux Falls Sioux Falls USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWMHUA2|F|Courtyard By Marriott|NALO|West||0011I00000cJXUzQAO||Cancelled||
FFI CO Pueblo Pueblo USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWMIUA2|F|Fairfield Inn By Marriott|NALO|West||0011I00000cJXUzQAO||Cancelled||
FFI TX McAllen McAllen USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWMJUA2|F|Fairfield Inn By Marriott|NALO|West||0011I00000cJXUzQAO||Cancelled||
CY NE Lincoln Lincoln USA|MSB|||a1W1I000000aWMKUA2|F|Courtyard By Marriott|NALO|West||0011I00000cJXUzQAO||Cancelled||
FI KY Lexington Northeast USA|MSB|0011I00000cJXUzQAO||a1W1I000000aWMLUA2|F|Fairfield Inn By Marriott|NALO|West||0011I00000cJXUzQAO||Cancelled||
Courtyard By Marriott Indianapolis Airport|MSB|0011I00000cJXVUQA4|INDCA|a1W1I000000aWceUAE|L|Courtyard By Marriott|NALO|West||0011I00000cJXVBQA4||Open||
Courtyard By Marriott Indianapolis Castleton|MSB|0011I00000cJXVUQA4|INDCS|a1W1I000000aWcfUAE|M|Courtyard By Marriott|NALO|West||0011I00000cJWOMQA4||Open||
Courtyard By Marriott Williamsburg Busch Gardens Area|MSB|0011I00000cJXVUQA4|PHFWB|a1W1I000000aWd4UAE|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Open||
Pittsburgh Cranberry Township|MSB||PITFI|a1W1I000000aWdUUAU|F|Fairfield Inn By Marriott|NALO|East||||Deflagged||
Anaheim Placentia/Fullerton|MSB||SNAFI|a1W1I000000aWdVUAU|F|Fairfield Inn By Marriott|NALO|West||||Deflagged||
Fairfield Inn By Marriott Ontario|MSB|0011I00000cJXq1QAG|ONTFI|a1W1I000000aWdiUAE|F|Fairfield Inn By Marriott|NALO|West|0011I00000cJXq1QAG|0011I00000cJXq1QAG||Open||
Courtyard By Marriott Chattanooga at Hamilton Place|MSB|0011I00000cJXVUQA4|CHACH|a1W1I000000aWdjUAE|M|Courtyard By Marriott|NALO|East||0011I00000cJSNyQAO||Deflagged||
The Ritz-Carlton, Pelican Island Antigua|Luxury|0011I00000cJSGpQAO|.|a1W1I000000aWdkUAE|M|The Ritz-Carlton|INTL|CALA||0011I00000cJXVUQA4||Cancelled||
